created_at,cost_total,tokens_prompt,tokens_completion,tokens_reasoning,model_permaslug,provider_name,variant,finish_reason_normalized,generation_time_ms,time_to_first_token_ms
2026-01-15 06:44:52.548,0.015173,227,1489,1366,google/gemini-2.5-pro,Google,standard,stop,19714,7243
2026-01-15 06:44:52.547,0.002487,244,117,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,2784,758
2026-01-15 06:44:52.544,0.004324,215,282,162,openai/gpt-5.2-20251211,OpenAI,standard,stop,6106,3879
2026-01-15 06:44:52.542,0.000378,223,1469,1372,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,25798,778
2026-01-15 06:44:45.817,0.0024,215,117,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,3170,948
2026-01-15 06:44:45.815,0.002212,192,134,43,openai/gpt-5.2-20251211,OpenAI,standard,stop,3698,1527
2026-01-15 06:44:45.814,0.000196,194,749,668,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,15504,2411
2026-01-15 06:44:45.812,0.013957,198,1371,1241,google/gemini-2.5-pro,Google,standard,stop,14510,2558
2026-01-15 06:44:27.559,0.004329,186,286,198,openai/gpt-5.2-20251211,OpenAI,standard,stop,7199,5183
2026-01-15 06:44:27.556,0.002139,208,101,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,2798,981
2026-01-15 06:44:27.554,0.000233,191,894,799,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,17922,2486
2026-01-15 06:44:27.552,0.014511,193,1427,1334,google/gemini-2.5-pro,Google,standard,stop,15008,2623
2026-01-15 06:44:25.172,0.000134,193,500,405,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,10015,934
2026-01-15 06:44:25.171,0.003727,186,243,157,openai/gpt-5.2-20251211,OpenAI,standard,stop,7130,5530
2026-01-15 06:44:25.170,0.036605,196,3636,3512,google/gemini-2.5-pro,Google,standard,stop,34605,2253
2026-01-15 06:44:25.168,0.002226,212,106,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,3923,2187
